# Sparvio 1.5.0 log file. Unknown start time.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Relative time (sec); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
28.122; ; ; ; ; 0.1; 52; -0.04; -0.03; -0.09; 21.3; 62.3; 100373; 4.1; -1.3; 0
28.322; 100198; 8.168; 22.09; 59.95; 0.06; 23; -0.01; -0.02; -0.05; 21.26; 62.5; 100373; 4.2; -1.0; 0
28.523; ; ; ; ; 0.08; 344; 0.01; -0.05; -0.07; 21.12; 63.0; 100373; 4.1; -1.3; 0
28.722; ; ; ; ; 0.1; 329; 0.04; -0.07; -0.07; 21.02; 63.4; 100372; 4.2; -1.2; 0
28.922; ; ; ; ; 0.1; 321; 0.04; -0.05; -0.07; 20.93; 63.6; 100374; 3.9; -1.7; 0
29.122; ; ; ; ; 0.1; 304; 0.04; -0.02; -0.09; 20.99; 63.5; 100372; 4.0; -1.2; 0
29.322; 100198; 8.186; 22.06; 60.01; 0.12; 346; 0.02; -0.08; -0.09; 20.98; 63.5; 100374; 4.0; -1.4; 0
29.525; ; ; ; ; 0.15; 1; 0.0; -0.12; -0.1; 20.93; 63.7; 100374; 4.0; -1.4; 0
29.722; ; ; ; ; 0.16; 3; -0.01; -0.11; -0.12; 20.94; 63.6; 100373; 3.9; -1.4; 0
29.922; ; ; ; ; 0.16; 6; -0.01; -0.11; -0.11; 20.91; 63.8; 100374; 4.2; -1.3; 0
30.122; ; ; ; ; 0.17; 3; 0.0; -0.11; -0.13; 20.88; 64.0; 100374; 3.9; -1.3; 0
30.322; 100200; 8.204; 22.08; 60.03; 0.17; 7; -0.02; -0.13; -0.11; 20.93; 63.8; 100374; 4.2; -1.4; 0
30.523; ; ; ; ; 0.14; 1; 0.0; -0.1; -0.1; 21.0; 63.6; 100375; 3.9; -1.3; 0
30.721; ; ; ; ; 0.14; 4; -0.01; -0.1; -0.1; 20.99; 63.6; 100373; 4.2; -1.4; 0
30.922; ; ; ; ; 0.13; 4; -0.01; -0.1; -0.08; 20.96; 63.7; 100374; 3.9; -1.3; 0
31.122; ; ; ; ; 0.12; 11; -0.02; -0.08; -0.08; 20.89; 64.0; 100375; 4.2; -1.4; 0
31.322; 100201; 8.21; 22.09; 60.07; 0.14; 7; -0.01; -0.11; -0.09; 20.83; 64.2; 100375; 4.0; -1.3; 0
31.525; ; ; ; ; 0.16; 14; -0.03; -0.12; -0.11; 20.8; 64.3; 100373; 4.2; -1.4; 0
31.721; ; ; ; ; 0.16; 12; -0.02; -0.1; -0.12; 20.8; 64.4; 100375; 4.0; -1.3; 0
31.922; ; ; ; ; 0.13; 7; -0.01; -0.08; -0.09; 20.8; 64.3; 100374; 4.1; -1.4; 0
32.121; ; ; ; ; 0.11; 359; 0.0; -0.07; -0.09; 20.81; 64.2; 100374; 4.1; -1.3; 0
32.321; 100201; 8.192; 22.09; 60.13; 0.1; 20; -0.02; -0.04; -0.09; 20.79; 64.5; 100374; 4.1; -1.3; 0
32.522; ; ; ; ; 0.08; 202; 0.01; 0.02; -0.08; 20.81; 64.4; 100375; 4.1; -1.3; 0
32.721; ; ; ; ; 0.07; 4; 0.0; -0.02; -0.07; 20.8; 64.4; 100374; 4.1; -1.3; 0
32.921; ; ; ; ; 0.07; 26; -0.02; -0.04; -0.06; 20.78; 64.4; 100375; 4.1; -1.4; 0
33.121; ; ; ; ; 0.05; 55; -0.01; -0.01; -0.05; 20.76; 64.5; 100376; 4.1; -1.3; 0
33.321; 100199; 8.206; 22.1; 60.15; 0.05; 84; -0.01; 0.0; -0.05; 20.75; 64.6; 100374; 4.1; -1.4; 0
33.524; ; ; ; ; 0.06; 12; -0.01; -0.03; -0.06; 20.72; 64.7; 100375; 4.1; -1.4; 0
33.721; ; ; ; ; 0.05; 13; 0.0; -0.02; -0.05; 20.74; 64.7; 100373; 4.1; -1.3; 0
33.922; ; ; ; ; 0.07; 359; 0.0; -0.04; -0.06; 20.74; 64.7; 100376; 4.1; -1.3; 0
34.122; ; ; ; ; 0.07; 5; 0.0; -0.04; -0.06; 20.72; 64.8; 100374; 3.9; -1.4; 0
34.321; 100197; 8.195; 22.1; 60.11; 0.08; 348; 0.0; -0.02; -0.08; 20.7; 64.8; 100374; 4.3; -1.1; 0
34.522; ; ; ; ; 0.08; 341; 0.01; -0.03; -0.08; 20.69; 64.8; 100375; 3.8; -1.6; 0
34.721; ; ; ; ; 0.13; 13; -0.02; -0.07; -0.11; 20.7; 64.8; 100375; 4.0; -1.0; 0
34.921; ; ; ; ; 0.11; 8; -0.01; -0.08; -0.08; 20.71; 64.8; 100375; 4.2; -1.4; 0
35.121; ; ; ; ; 0.1; 352; 0.01; -0.06; -0.08; 20.72; 64.7; 100374; 3.7; -1.2; 0
35.321; 100198; 8.2; 22.09; 60.11; 0.08; 227; 0.02; 0.02; -0.07; 20.74; 64.6; 100374; 3.7; -1.4; 0
35.524; ; ; ; ; 0.08; 266; 0.02; 0.0; -0.08; 20.73; 64.8; 100373; 3.9; -1.2; 0
35.721; ; ; ; ; 0.08; 229; 0.02; 0.01; -0.07; 20.72; 64.8; 100374; 3.9; -1.5; 0
35.921; ; ; ; ; 0.11; 195; 0.02; 0.06; -0.09; 20.68; 64.9; 100374; 4.2; -1.1; 0
36.121; ; ; ; ; 0.12; 190; 0.01; 0.07; -0.1; 20.65; 65.0; 100375; 4.1; -1.3; 0
36.321; 100199; 8.21; 22.12; 60.03; 0.08; 210; 0.01; 0.02; -0.08; 20.65; 65.0; 100374; 4.1; -1.3; 0
36.521; ; ; ; ; 0.11; 222; 0.04; 0.04; -0.09; 20.66; 65.0; 100375; 4.2; -1.3; 0
36.721; ; ; ; ; 0.12; 224; 0.05; 0.05; -0.1; 20.72; 64.8; 100374; 4.1; -1.3; 0
36.920; ; ; ; ; 0.11; 169; 0.0; 0.01; -0.11; 20.77; 64.6; 100374; 4.0; -1.1; 0
37.121; ; ; ; ; 0.12; 339; 0.01; -0.04; -0.11; 20.78; 64.6; 100376; 4.2; -1.4; 0
37.320; 100198; 8.185; 22.12; 60.08; 0.13; 287; 0.04; -0.01; -0.12; 20.75; 64.7; 100376; 3.9; -1.1; 0
37.528; ; ; ; ; 0.11; 338; 0.02; -0.04; -0.1; 20.74; 64.8; 100374; 4.3; -1.6; 0
37.721; ; ; ; ; 0.09; 313; 0.04; -0.04; -0.08; 20.75; 64.6; 100374; 4.0; -1.2; 0
37.921; ; ; ; ; 0.1; 300; 0.04; -0.02; -0.09; 20.76; 64.8; 100374; 4.1; -1.4; 0
38.121; ; ; ; ; 0.09; 312; 0.05; -0.04; -0.07; 20.76; 64.7; 100376; 4.9; 0.2; 0
38.321; 100198; 8.204; 22.12; 60.04; 0.11; 319; 0.03; -0.04; -0.1; 20.73; 64.8; 100376; 4.0; -1.8; 0
38.521; ; ; ; ; 0.11; 338; 0.03; -0.07; -0.08; 20.86; 64.3; 100375; 3.6; -2.3; 0
38.721; ; ; ; ; 0.14; 1; 0.0; -0.1; -0.11; 21.04; 63.7; 100374; 4.5; -1.0; 0
38.921; ; ; ; ; 0.15; 8; -0.01; -0.1; -0.11; 21.01; 63.7; 100375; 4.0; -1.8; 0
